patchids,classes
2db459d6-459d-4ea8-9d3b-62176b916a34,0
16e2b69c-716e-4b25-86cf-db437139cc7d,0
5da8ca55-bae2-4e4c-b09b-5b514bbae723,0
81d04a46-fd76-4f63-bcc3-55e1786dab5b,0
57eb2f48-712c-4be3-b163-8a91b1e64be7,0
630eaec7-5055-42bb-b197-48486ff607ca,0
1048440e-7821-40b2-ac63-d88300297276,0
e1d3649d-0d4c-4e6a-9892-9bcab7a88a43,0
d359109b-25c5-436c-b67a-dbde029b8c76,0
9e0aad11-c860-4c69-9646-b028b4159887,0
ea32b330-7291-481e-8d43-7f1cc00715a8,0
afcf2c1a-c6ee-4b2b-b849-2476b3795f76,0
9ae14a20-2451-436e-9269-5e5e36097e0f,0
55fc54b5-b4e7-4d71-99e5-6e657a748ef5,0
ccf8e058-9c03-4b7e-8807-10dc7e47128e,0
1f41dfa0-efee-473d-bae0-01169c21fa14,0
038c6e98-67f1-4867-9e30-9d95401a3ed6,0
fd8cc8cb-4662-4d09-9a2c-dad825aa53fa,0
c1e759da-86b9-4634-9521-02f2c345c398,0
b155ef4e-b869-4f17-937c-0529a9c47322,0
2b20ed76-bb07-4f53-9fcd-dc5a76a0e9cb,0
74043b5c-8e6d-4e68-9f10-b661ad685abf,0
be89d0ca-1060-4810-8179-73c0bbcaff0a,0
6dcc356b-26af-466a-8f42-594cbc1f70df,0
7202f663-16d0-494c-9832-3deda823858a,0
efb42e47-f3f0-4f1a-9963-b4517f5b0976,0
516fb723-d528-41d7-a8d3-bb92dd62ab65,0
8f386435-862c-40aa-8270-28dbb4e2b3f5,0
00ee7dfe-151d-4b9d-aedb-0e000edd6923,0
0556109b-9ef8-4806-a001-55832d42f928,0
ca2347a6-cc19-4dbb-b120-7180d3162b3b,0
23e6b340-f158-4acc-a6ba-3ad3a22343e8,0
56665a59-3c62-43a5-ac3d-3adf9dc6b0a9,0
4123742c-9336-4a0b-afb4-917fa38b3c38,0
41f3ea34-6ced-4c57-96c0-057a8f3c8238,0
51a64108-2a11-4488-b474-929bb965de35,0
d48a3969-fd98-4ac8-967c-a4d75412cb07,0
3133fee7-f2b9-494b-a5a1-62e5a14a4b0c,0
6e112cf7-68a4-4bfe-9659-a8132579cf8c,0
5cdc76c9-e48e-48e3-a46b-25bbc33356f7,0
c5bd8f32-f226-4674-81b9-c2252f976b73,0
3afb9241-8399-45bc-bbfa-db2658da7f9b,0
00f83626-9106-4665-83a3-e47447b1bd8d,0
c8db9bec-30a1-4500-beb7-d3e0f20800ef,0
4d9a949e-8dc0-47de-9f58-e8b0133ccfa1,0
76069678-48fa-4f03-9b02-1aa0da931838,0
5b047ea4-c332-44e5-a59a-12ee8c5e289a,0
c7811b61-20c7-47d5-ab58-d11504beffe7,0
e02aa525-12fc-48b0-b34b-62b907d5d8a1,0
bfdfb38b-255b-4e1e-9484-39ec8b857ab7,0
243c5d98-e37a-4065-a768-20214b62d9fd,0
504e632e-1228-4b00-a055-4c745760f84e,0
97087326-ff5d-4740-8a11-ad5d9f12c1ba,0
b678878d-ff31-4dc5-b90d-100067c10e43,0
db4485a5-d64d-4876-aecf-ac8ba8beac83,0
236e734f-b1a9-4181-bc97-a5046a5e5ed1,0
76580439-6cd4-4884-ac63-0bb725a072a4,0
4810ac01-b598-47d0-bc2b-cccad8620f1c,0
6bfc7693-c4db-4f64-adba-ca1697c0b486,0
ef0250f2-1f1e-47dd-bd77-640794a66753,0
27c8bfe2-189e-4241-87aa-4fc666bc0477,0
b05008aa-750b-44b4-987b-08714ed0c9a3,0
f1b15a3a-42ec-443b-8427-c1af9400a000,0
cfe997f3-1821-463b-94ae-e2993f9860da,0
0b576e45-6963-4fee-9431-573704b78f0e,0
38780206-c7c1-4985-b71f-d453f7f1e107,0
5a5ebdd5-8117-449f-b6d7-cb19fa9a6c0b,0
436bd85a-dfe5-4a3d-91ea-2103e81a24f3,0
5389b3b7-bd3d-49c1-888c-cc18dc0112b8,0
87db3d1c-6783-44d7-a266-519b06221771,0
a255fa92-c72c-46aa-bec8-8c6e1e5b2b24,0
638f5dcf-0ffb-418e-879a-fe5851424ed9,0
c2e81261-ce6d-4752-a91d-290e8f8b6edc,0
9a3b670e-77cb-456e-8a9c-d86fc206eb6d,0
f7ca3089-2dbe-4a3b-9bae-c46eb623439e,0
f63e1c63-6962-4af1-9dc1-22d8abc88422,0
89c879d9-dea6-4333-a3f6-3c1a4cb17940,0
8ecc0b4a-b19f-420c-8c22-18478cb6a15a,0
4e919ef1-958e-49b8-a533-09dda9086783,0
0ceb00c7-b64a-45f7-9abe-1b5230db9691,0
4da85123-2b36-4a34-bf17-0bd904338f1d,0
1f8d30d7-14da-40f2-852e-37fc78c49d89,0
323d719f-66a2-4a07-9ae3-9ec732783737,0
06ee9ed1-ba86-4389-b1b8-6ec1b340dfeb,0
b93aa6c4-e3a3-48fd-967f-c4035e2a5fc1,0
3aeabc1e-87cc-4235-ac9c-49e8cf4b5f44,0
99a5c67b-1064-4f57-92d9-db6f322747d2,0
63c821fb-9155-4be4-add3-da448039e75d,0
1e382a75-b4ce-495b-a9a2-a8199c5a4ade,0
1a789446-e300-4741-92f7-d7f580895fe5,0
bc205989-4d8d-4c8c-842a-9eb5bf070d79,0
229a9df2-04b5-445b-b39e-96f74d0f611d,0
7aebb07c-f30e-4ddf-92c6-89dc0ac7574f,0
83b8fde0-559f-4324-a1c2-908c469970ed,0
064c5030-3af1-4f2d-98d5-9be7fb48e0ad,0
5d1ccf2a-d8fe-4d59-9f4f-589288ef9acb,0
dfc969a6-e22e-48bc-a005-2938bca60f81,0
79fba22f-cacf-420e-b54d-0adea2a2e2a8,0
70d7167b-2f9d-48e4-aa3c-2bf97100dc84,0
0a063292-2ce5-4230-ab60-23748677ee03,0
c9d7e6fe-91a8-454f-9399-0f99587b1627,0
4d32ccf1-d068-45bd-af1f-85c6bf47bcba,0
0103f80c-4adf-412b-8c4c-4f34e6f8e558,0
84f20a13-34b2-445d-9c0b-a29aec467f29,0
3000b02a-7266-4f2d-be46-37a1a04f96f7,0
dc8d7d99-fa30-4075-b47a-2b8679d3b308,0
2e222957-898d-4b93-bf0e-0cf0ab97fd00,0
07be6bbf-7326-40b8-ac3c-b2a4230be36a,0
7c9d6e87-787e-4dc1-90a0-aed5450f70d9,0
4fcd924c-349f-41fd-b5d7-b4ac3699b817,0
37e52d30-28a4-4885-842d-35676406e7f7,0
24ca216c-c01f-4066-8339-1ea8b59a6b26,0
0c8fc9e6-fef8-480e-8b37-76847fb4a2e2,0
950b22b3-0bbc-4e15-9195-fdbae4d3c334,0
78da2a46-bd51-485d-9ad3-bdefed9d9ff7,0
f3c9f449-0c9e-444e-9ba4-42ff8a821d1c,0
29e54f10-ec52-4ab7-aa0c-dae5be26dfc3,0
d8bcd29f-8174-4cc9-b693-2904ad07d695,0
ebfc767e-11f5-4965-b230-ee3d2226eba5,0
1c7f8108-d768-43f5-9a20-6a819c0aa42d,0
ee9280ec-44cb-480b-a47b-5d7d61a16a37,0
46d30fa5-00b0-44f3-8844-1d81177a68ba,0
4672e027-233b-4bc4-ab3e-59f6bed31af4,0
16b934df-06dc-4975-8bcf-f829cd3925b8,0
51711048-0164-4239-ae8b-4c27a6205112,0
8324535d-8ef9-4138-8801-e0f53f4cfcb1,0
f10e37f6-2202-4c4e-af7d-a489132e5fa1,0
ec3e1e14-ea2c-4741-9fb4-0b049910a50f,0
5aad84da-e11b-4b99-99be-69e3a752c73d,0
abbb1026-8d09-449a-9ca5-96e5e3504122,0
fe3a447e-1695-499b-bbaf-253944ff5926,0
45a9d606-4ef4-4d7c-a515-1b8abf36f9cc,0
a7964217-07a1-4c9f-b8f0-730d0d174324,0
1bfb0147-f426-4673-9ddc-ca36ff47e9fb,0
93d86264-c222-43f0-9969-ccf87485e909,0
65d9c7ee-d489-45b5-8cec-8e9669061486,0
3392aa39-81ad-4131-8c54-c3ecb63d52bd,0
c71dade0-0aa2-4e2f-a2d3-61418954542a,0
c3afd7d3-a037-4ac9-8777-d6bdc582f687,0
848181bd-13bb-4092-83be-fe023550e26c,0
fadb4c3e-d5c1-4cb8-b727-e5ca620ea2c7,0
3dc331f5-51e5-428f-9795-598c120bb419,0
151043a2-5eb5-407d-b1c4-cf48ba140bd2,0
fae73ecf-6c3e-45c7-9aab-fb810913ec3c,0
7870b32f-b0a8-4b74-9e67-aa4ff5996531,0
26a6db02-a5bc-48f4-b61b-926637a8a733,0
f730cb39-fbf0-41d8-a558-dde96f3370f9,0
725d0ce5-3f04-4424-842a-8a3669607d84,0
ece15f8c-ac75-43a8-aee5-26a1a8ec490e,0
5a97b458-8a4b-46cd-b2b1-233dc2e084f5,0
7428d5e7-9e86-46ce-a75d-55c5813ff9c5,0
5afedf3e-a111-442f-abd5-7ca5e886cd5d,0
97eb3eab-4e7a-4458-a0bb-418b13e8dce4,0
b07293a7-61c0-4b47-ac4b-a3349765caf7,0
8e9dd221-bcd8-4e70-8440-a1f580322c19,0
daa5f533-3f17-4484-96a6-41457cc498e2,0
9fb90421-662b-4136-a5d4-1bd65dfc294a,0
b9ce6ed3-2974-4465-8c04-da63a3bfb4ef,0
63273df7-7f0b-4dcc-b371-66fff3dbfe79,0
81a21d60-6aeb-4afe-84bd-3b10fb2c8c8e,0
0e8998e8-b881-4922-808d-30478c0ae405,0
df964854-3652-4164-932e-4385f34d5603,0
17a30b7c-9b2c-4363-b15d-3c97ea95d6f6,0
7b99e1ca-a9f3-4e53-9993-ffb6d59bcb24,0
84730bac-57a2-4b2f-b753-d41644738a89,0
1e3269f8-b1e6-44da-916c-b2d25cd41a64,0
f30860e4-30cf-4009-8f70-129f2c977eaf,0
7f2a2283-ab5c-4f00-b10e-6a15ce79550c,0
39808d4e-4b2d-4992-b09b-008ec231e661,0
2d3eb16e-1a81-466e-9d56-6c36ab3bb9a5,0
a3fe99db-aab2-4277-b556-fd025f534a5d,0
e36a444d-0dfa-4a9f-b6b4-e1d54b91833f,0
74251b8c-3d5a-42d9-8fca-23e307066ae5,0
a5d7ce76-182b-4f01-b9de-a006adadf734,0
