patchids,classes
ae861732-81b7-4830-b380-69ae61cb63cb,0
aac57494-46e3-4697-a64a-9b44a658e32d,0
13da2fcb-7654-4493-84a4-fb07856662dd,0
f55e7ce8-df1b-4617-9bd7-018d66fedbee,0
163d3335-55c9-4704-9fce-ac3e7c76249f,0
ca4ddb4a-2ab0-4b33-bec7-43b27fe408e5,0
ae97ff14-3717-4f65-a3ad-e95e19d8b5b5,0
a58fd499-ff5d-4259-a372-692152ed11dd,0
7eafa667-ad86-4e78-84b8-a651555670a1,0
7ee23537-ffac-43cb-9194-712b6b766159,0
4123742c-9336-4a0b-afb4-917fa38b3c38,0
98d77dfb-adc0-4cd8-a3ac-00de7eb4df6e,0
7a1ba2c5-1391-4665-ab81-4a119f72c597,0
1380cc69-2a75-4639-b2c6-301594297fbc,0
a3d551fd-4352-4d22-b3d2-3b6b2b4ab427,0
4b233806-8388-4fd2-9635-a09e5b2f2eff,0
a6ba58b4-46d7-4d9b-8e72-81a8b7fedce1,0
be3ad1f9-ab1e-4feb-915c-a656391baa1f,0
7b0d8ce9-0a0f-4f63-af6a-e81361da0e98,0
1727ddac-3b88-402f-9e8d-06a5af161e9d,0
4391dc2b-413d-4da4-853f-c508ca03ce2f,0
877f87a3-d009-4f58-9917-c995bc5e5361,0
bb30429a-784a-494c-8558-ad15f9b24f30,0
a3313a53-9743-4b76-8341-5a2bce27afd2,0
f096d172-57fe-4ce2-b51e-2226cdfd36f5,0
c214f08b-f1c3-4cff-97c2-9a7b6c62919e,0
79b2b7e1-4eb2-4f74-befe-b0fff27b1e82,0
053f4504-5b75-439a-9689-801499bc5010,0
a8378505-f616-446b-989c-3a1a854c1ad2,0
4672e027-233b-4bc4-ab3e-59f6bed31af4,0
6211fe27-5c31-4e5f-97ff-5bc232e948f6,0
6c7978c9-9429-405e-b8dd-35b7023449bd,0
00786b2f-c042-4b2b-b7a3-ce0edf001517,0
71e8b478-a70f-45a7-ad2f-196d4484b05c,0
0ac65200-8db8-41c4-b786-297865057fc2,0
